WOCE ID, year, also known as , EXPO code, batch number (if found in cruise document),,,,,,,,,,,,,,,,,,,,,,,,,,
I09,1995, I09S/I08S, 316N145_5, P128 (Cruise Rep. P.A5 Tab.3 and Sec.3.1.2),,,,,,,,,,,,,,,,,,,,,,,,,,
I09,1994, I09S/S03/S04/S04I, 09AR9404_1, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
I09,1995, I09S/S03,?, P121/P123,,,,,,,,,,,,,,,,,,,,,,,,,,
I09,2004, I09S, 09AR20041223, P141(stn 1 to 10)/P143(10 to 16)/P144(rest),,,,,,,,,,,,,,,,,,,,,,,,,,
I09,2012, I09S, 09AR20120105, P153,,,,,,,,,,,,,,,,,,,,,,,,,,
IR6,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR6,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR6,2000, I02,, P133/P138,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,1985,, 31TTTPS47, P96,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,1999, P01E, 18DD199905_1, P133/P134 (not found in manual, pers.comm.?),,,,,,,,,,,,,,,,,,,,,,,,,
P01,1999, P01C, 49NZ199905_1/49NZ199908_1, P135,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,1999, P01H, 49NZ199909_2, P135,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,1999, P01W, 49KA199905_1, P133,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,2007, P01C/P01H/P01W/P01E, 49NZ20070724/49NZ20071008, P148,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,2014,, 49NZ20140717, P156,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,1993, P02E, 492SSY9310_1, P123,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,1994, P02T, 49K6KY9401_1, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,1994, P02C, 49EWBO9401_1, P121,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,1994, P02W/PR27, 492SSY9411_1, unknown (a source shows P144 but not likely to be available in 1994?),,,,,,,,,,,,,,,,,,,,,,,,,,
P02,2004,, 318M200406, P144,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,2013,, 318M20130321, P153,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,1985,, 31TTTPS24_1/31TTTPS24_2, P96,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,2005, P03E, 49NZ20051031, P145,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,2005, P03W, 49NZ20051127, P145,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,2006, P03W/P03H, 49NZ20060120, P145,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,1989, P04W/P04C/P04E, 32MW893_1/32MW893_2/32MW893_3, P97,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,1992, P06C, 316N138_4, P116,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,1992, P06E, 316N138_3, P116,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,1992, P06W, 316N138_5, P116,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,2003, P06W, 49NZ20030803, P142,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,2003, P06E, 49NZ20030909, P142,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,2009, P06W, 318M20091121, P149,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,2010, P06E, 318M20100105, P149(128-174)/P150(175-xxx)/P151(xxx-250),,,,,,,,,,,,,,,,,,,,,,,,,,
P06,2017, P06W,320620170703, P160,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,2017, P06E,320620170820, P160,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,1994,, 49RY9407_1, P123,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,2010,, 49RY20100706, P152,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,2016,, 49UP20160703, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,1993,, 3250TN026_1, P114(1-12)/P120(13-),,,,,,,,,,,,,,,,,,,,,,,,,,
P10,2005,, 49NZ20050525, P145,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,2011,, 49NZ20111220/49NZ20120113, P153,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,1991,, 49HH915_1/49HH915_2, P112/P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,1993,, 49HH932_1, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,1992,, 3220CGC92_0/3220CGC92_1/3220CGC92_2, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,2011,, 49RY20110515, not found,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,1992, P14C, 316N138_7, P120,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,1993, P14N, 325023_1/325024_1, P122,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,1996, P14S, 31DSCG96_1, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,2007, P14N, 49NZ20071008, P148,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,2007, P14C, 49NZ20071122, P148,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,2012, P14S, 49NZ20121128, P154,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,1990, P15S, 3175CG90_1, P112,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,1994, P15N, 18DD9403_1/18DD9403_2, P121,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,1996, P14/P14S/P15S, 31DSCG96_1, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,2001, P15S, 09FA20010524, P140 (undocumented, pers.comm?),,,,,,,,,,,,,,,,,,,,,,,,,
P15,2009, P15S, 09SS20090203, P148/P150 (undocumented, pers.comm?),,,,,,,,,,,,,,,,,,,,,,,,,
p15,2011, S04P,320620110219, P152,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,2016, P15S, 096U20160426, P157,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,1984,,, P92,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,1991, P16C, 31WTTUNES_3, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,1991, P16N, 31DSCGC91_2, P110,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,1991, P16S, 31WTTUNES_2, P108(141-220)/P114(124-140),,,,,,,,,,,,,,,,,,,,,,,,,,
P16,1992, P16A, 316N138_9, P120,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,2005, P16S, 33RR20050106, P144,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,2006, P16N/P16C,325020060213, P145,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,2014, P16S,320620140320, P156,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,2015, P16N/P16C, 33RO20150410, not found,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,2015, P16N, 33RO20150525, P157(-196)/P155(197-),,,,,,,,,,,,,,,,,,,,,,,,,,
P17,1991, P17S,, P108/P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,1991, P17C,, P120,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,1992, P17A,, P120,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,1993, P17N,, P122,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,1992, P17E/P19S,316N138_10,P120,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,2001,,, P139,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,2017, P17E,49NZ20170208,P159,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,1994, P18N/P18S, 31DSCG94_1/31DSCG94_2/31DSCG94_3, P114,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,2006, P18(AAIW),, P146,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,2007, P18N/P18S, 33RO20071215/33RO20080121, P147,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,2016, P18N/P18S, 33RO20161119, P159,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,1994, P21W, 318MWESTW_4, P123,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,1994, P21E, 318MWESTW_5, P123,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,2009, P21W/P21E, 49NZ20090410/49NZ20090521, P150,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,1993, SR01b/S01, 74JC00_1, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,1994, SR01b/S01, 74JC00_2, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,1996, SR01b/S01, 74JC16_1, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,1997, SR01b/S01, 74JC27_1, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2000, SR01b/S01, 74JC20001121, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2001, SR01b/S01, 74JC20011119, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2002, SR01b/S01, 74JC20021218, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2003, SR01b/S01, 74JC20031201, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01, 2009a, A21/SR01a/SR01b/S01, 740H20090203, P150,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01, 2009b, SR01b/S01, 74JC20091118, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2011, SR01b/S01, 74JC20111127, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2013, SR01b/S01, 74JC20130319, P153/P154/P155,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01, 2015a, SR01b/S01, 74JC20150110, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR01, 2015b, SR01b/S01, 74JC20151217, P156 (1-14)/P158 (15-),,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,2016, SR01b/S01, 74JC20161110, P158,,,,,,,,,,,,,,,,,,,,,,,,,,
SR03,1991, S03, 09AR9101_1, P115 (after Purkey, not documented),,,,,,,,,,,,,,,,,,,,,,,,,
SR03,1993, S03, 09AR9309_1, P121 (Table A6.2 of cruise report for 09AR9407_1),,,,,,,,,,,,,,,,,,,,,,,,,,
SR03,1994, S03, 09AR9404_1, P121 (stn 86-107)/P123 (stn 1-85) (Table A6.2 of c.r. for 09AR9407_1, Table 8.3.10 of c.r. for 320696_3),,,,,,,,,,,,,,,,,,,,,,,,,
SR03,1994, S03, 09AR9407_1, P123 (stn 1-79)/P121 (stn 80-102),,,,,,,,,,,,,,,,,,,,,,,,,,
SR03,1995, S03, 09AR9501_1, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR03,1996, S03, 09AR9601_1, P128 (stn 1-23)/P130 (stn 24-69),,,,,,,,,,,,,,,,,,,,,,,,,,
SR03,2001, S03, 09AR20011029, P133 (1-7,30,43-45,89-115,120-125,129-135)/P137 (8-9,14-29)/P140 (37-42,46-88,116-119,126-128)/P133 & P137 (10-13)/P133 & P140(31-36),,,,,,,,,,,,,,,,,
SR03,2008, S03, 09AR20080322, P147 (1-8,11-73)/P148 (9-10),,,,,,,,,,,,,,,,,,,,,,,,,
SR03,2011, S03, 09AR20110104, P149 (53,55-61,87-99,109-115,141)/P150 (22-25,28-40,48-50,62-68,84-86,100-102)/P151 (1-9,11,12,41-47,51,52,54,69-83,103-108,142,144,146-149)/P152 (10,13-21,26,27,116-140,143,145)
SR04,1989, SCM02/SR02, 06AQANTVIII_2, P111 (after Purkey, not documented),,,,,,,,,,,,,,,,,,,,,,,,,
SR04,1990, SCM07, 06AQANTIX_2, P113 (after Purkey, not documented),,,,,,,,,,,,,,,,,,,,,,,,,
SR04,1992,, 06AQQNTX_7/06AQ19921203, unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
SR04,1996, S04/S04A, 06AQQNTXIII_4, P127,,,,,,,,,,,,,,,,,,,,,,,,,,
SR04,1998,, 06AQANTXV_4, P133,,,,,,,,,,,,,,,,,,,,,,,,,,
SR04,2010, A12/S04, 06AQ20101128, P152,,,,,,,,,,,,,,,,,,,,,,,,,,
S04I,1994, S03/S04, 09AR9404_1, P123 (Table 8.3.10 of cruise report for 320696_3),,,,,,,,,,,,,,,,,,,,,,,,,,
S04I,1996, S04, 320696_3, P125,,,,,,,,,,,,,,,,,,,,,,,,,,
S04I,2012, P14/P14S/S04, 49NZ20121128/49NZ20130106, P154,,,,,,,,,,,,,,,,,,,,,,,,,,
S04P,1992, S04, 90KDIOFFE6_1, P108,,,,,,,,,,,,,,,,,,,,,,,,,,
S04P,2011,,320620110219, P152,,,,,,,,,,,,,,,,,,,,,,,,,,
S04P,2018,,320620180309, P161,,,,,,,,,,,,,,,,,,,,,,,,,,
