1 5 100
2 1 176
3 1 1127
4 2 1067
6 1 1857
8 1 550
10 1 1410
12 1 1695
14 2 1245
16 1 2627
18 1 3727
20 1 3717
22 1 3791
24 1 3944
26 1 3779
28 1 4307
30 2 4253
31 1 4436
33 1 4286
34 1 4268
36 1 3991
38 1 4357
40 2 4285
42 1 4626
44 1 4235
46 2 4733
48 1 4486
50 1 4583
51 1 4718
53 1 4600
55 1 4611
56 2 4855
58 1 4798
60 1 4636
62 1 4500
64 1 4360
66 1 4841
67 3 4905
69 2 5167
71 1 4767
73 1 4796
74 1 4995
76 1 4621
77 1 4794
79 1 4531
81 1 5140
83 1 5216
84 2 5244
86 1 5232
88 1 5205
90 2 5529
92 1 5462
94 1 5323
96 1 5346
98 1 5354
100 1 5514
102 1 5307
104 1 5358
106 1 5140
108 1 4857
110 1 4664
112 1 4573
114 1 4467
116 1 4268
118 2 4279
120 1 4568
122 3 4646
124 1 4495
126 1 4856
128 2 4378
130 1 3389
132 2 5002
134 1 4996
136 1 4424
138 1 4883
140 1 4845
142 2 5010
144 1 5082
146 1 5140
148 1 4054
150 1 3278
152 1 2149
153 2 1044
154 1 1215
155 2 2107
157 1 2857
159 1 4037
161 1 4917
163 1 4955
165 1 4872
167 2 4753
169 1 4682
171 1 4635
173 1 4671
175 1 4741
177 1 4679
179 1 4554
181 1 4936
183 1 5058
185 1 5113
187 2 5275
189 1 5340
191 2 5409
193 1 5558
195 1 5614
197 2 5532
199 1 5731
201 1 5720
203 1 5776
205 1 5758
207 1 5788
209 1 5382
211 1 5729
213 1 5810
215 1 5865
217 1 5829
219 1 5778
221 1 5793
223 1 6127
225 1 5931
227 1 6004
229 1 4849
231 1 5711
233 1 5977
235 1 6030
237 2 5772
239 1 5741
241 1 5450
243 2 2862
245 2 5128
247 1 5507
249 1 3950
251 1 5828
253 1 5817
255 2 5708
257 1 5657
259 1 5581
261 2 4865
263 1 5413
265 1 5339
267 2 5486
269 1 5478
271 1 5092
273 1 5003
275 1 5785
277 1 5788
279 1 5834
281 2 5858
283 1 5979
291 1 4895
285 2 5733
287 1 5544
289 1 5346
293 1 8996
295 1 4646
297 1 2429
299 1 2997
301 1 2570
303 1 2493
305 1 1291
306 1 779
308 1 1852
310 1 2652
312 2 4020
314 2 4784
316 1 5013
318 1 5114
320 1 4618
322 1 3783
324 1 5313
326 1 5175
328 1 5031
329 1 4937
331 2 4637
333 1 3966
335 1 2576
337 1 2349
339 1 3086
341 1 4494
343 2 4085
345 1 4359
347 1 5125
349 1 5812
351 1 5987
353 1 6934
355 1 6656
357 1 5186
359 1 3633
361 1 2200
363 1 2300
365 1 2212
367 1 1069
369 1 363
370 2 280
372 1 1433
374 1 1536
376 1 1906
378 1 1563
380 1 1106
382 2 845
384 1 263
385 1 140
386 1 114
387 1 108
388 1 105
389 1 97
390 1 218
392 1 641
394 1 1188
396 1 1211
398 1 410
400 1 437
402 1 302
404 1 424
406 1 422
408 1 213
